"","residuals"
"173",0.0577315781004773
"174",-0.0316118265332509
"175",-0.00936673525289911
"176",-0.000312335792913082
"177",-0.0701771158197665
"178",0.0440758564805282
"179",-0.0753662066342711
"180",-0.0638805868738565
"181",0.131902215642944
"182",-0.0158994411121819
"183",0.0168552076524744
"184",0.0638090149224111
"185",0.104237511596802
"186",0.00186819993566322
"187",0.0300663728906555
"188",-0.185892158893342
"189",-0.0934899909912612
"190",0.0261495617996789
"191",-0.000733773818531546
"192",-0.0794925755686308
"193",-0.00463579230722569
"194",0.108538879928072
"195",0.0108733448214563
"196",0.0627900354740187
"197",0.0437913670937285
"198",0.15141251813178
"199",0.0702012046702327
"200",0.0671052690047059
"201",-0.0679508640561072
"202",0.0894624683147221
"203",0.0316202402505477
"204",0.0341259834074474
"205",-0.0423952031177605
"206",0.108777846194786
"207",0.0188564801149112
"208",0.0200831751393921
"209",0.0515594963712197
"210",0.123920022259395
"211",-0.104810395528343
"212",0.046052581546953
"213",-0.02284469711426
"214",0.0126261782019344
"215",-0.112003041371214
"216",-0.0081114537465211
"217",0.0902079409460693
"218",-0.107804321627564
"219",-0.0413402107988289
"220",-0.0267280697425159
"221",-0.116245770558544
"222",0.0341487023115482
"223",-0.0191460369707404
"224",0.0791244552136414
"225",-0.107007298520288
"226",0.0372192403869954
"227",-0.0349737592477781
"228",0.0619391501932617
"229",0.0441134273403998
"230",0.0186042943524017
"231",0.0340025917414743
"232",0.103331867189973
"233",0.0492532406393892
"234",0.0730361407268852
"235",-0.0609952458537876
"236",0.0362433332843064
"237",0.00528359088952001
"238",0.0477977149918363
"239",-0.0614340436799357
"240",0.00644488653424448
"241",-0.0724314198671967
"242",0.072334239717482
"243",-0.019428281214488
"244",-0.0780143660475216
"245",0.0189568128733474
"246",0.0194049389747703
"247",0.0147004802575839
"248",-0.0751065116515714
"249",-0.0110029761107301
"250",-0.173696021137128
"251",-0.00193108825152803
"252",0.00101695755168246
"253",0.00806353905572125
"254",-0.0353780995369924
"255",0.00247033536291899
"256",0.0958236563746578
"257",-0.0615522333211903
"258",-0.136009617813914
"259",-0.110797043096281
"260",-0.0717799527569961
"261",0.117029194950641
"262",0.0206715448447666
"263",-0.0400284319712923
"264",0.0698104358123427
"265",0.0774168698010984
"266",-0.0274899234706841
"267",-0.0125426582257954
"268",-0.0364671293904704
"269",-0.0743399737258392
"270",0.0537786987009654
"271",-0.0235793242632981
"272",-0.0968970757287963
"273",-0.0743700819075997
"274",-0.0918581619279117
"275",0.081632818400292
"276",0.00813968751232936
"277",-0.00724150894044127
"278",-0.120673859333178
"279",0.00385511695274459
"280",-0.00326740424744305
"281",0.146749120575104
"282",0.0522528229804289
"283",-0.0328123143971815
"284",-0.10964436735231
"285",-0.0536578215207773
"286",0.0438069548536617
"287",0.0457120371702401
"288",0.0667203269434095
"289",0.0294237825469759
"290",0.0229895440421165
"291",-0.088219633143466
"292",0.00993567621762542
"293",-0.0660262024072479
"294",-0.0931897485027296
"295",-0.0173969881581972
"296",0.11896061049918
"297",0.115990015564676
"298",0.243758555239721
"299",0.0641773126148699
"300",-0.0327919174129788
"301",-0.0234822275560779
"302",-0.00769000729861767
"303",0.0213779272924312
"304",0.0945410170569741
"305",-0.116088594141178
"306",-0.0365224169856423
"307",0.0133343739800937
"308",-0.00888237313093042
"309",0.010549423695262
"310",0.132619548792379
"311",0.0509591990956859
"312",-0.0449595504586438
"313",0.16303204864154
"314",-0.0461371952122184
"315",-0.0468694490823528
"316",-0.0557377374546861
"317",-0.0328863465583552
"318",-0.0607868956430239
"319",-0.0455349209507417
"320",0.0353845396659142
"321",0.0816569368658838
"322",0.235682875823311
"323",-0.0173536290378881
"324",0.0704200856496178
"325",0.248541399647292
"326",0.0731079920130319
"327",0.170549941986418
"328",0.0587542705684549
"329",0.10459183434638
"330",-0.185308154782574
"331",-0.00696818311605425
"332",-0.0679871650982632
"333",0.120961354589297
"334",0.0873332651514719
"335",0.101928845427983
"336",-0.0140598551730159
"337",0.110406406629731
"338",0.0517503543604773
"339",0.137226663056649
"340",-0.0458267598339745
"341",0.0196198680649738
"342",-0.129544904644167
"343",0.0783366074307807
"344",-0.0065329246031931
"345",0.0238943533823565
"346",-0.0297179699210743
"347",0.220274536876307
"348",0.0940362571719609
"349",0.00333085877167545
"350",0.00413393800210709
"351",-0.0998755509695504
"352",0.0117537996739695
"353",0.162425655210372
"354",-0.0178066699501026
"355",0.154538178482467
"356",-0.0012134981769622
"357",0.0535674489643836
"358",0.0920892558643169
"359",0.00840419087701417
"360",0.10902669681948
"361",0.104653488943715
"362",0.0678081455539262
"363",0.0265092818963737
"364",-0.085657681206771
"365",0.0568398124179638
"366",0.16298740311481
"367",-0.0735328391550275
"368",0.121815669607145
"369",0.00761316845826788
"370",0.0639064400091565
"371",0.068027946186829
"372",0.0251007577836759
"373",-0.0554978467808102
"374",0.0692298205250203
"375",-0.00155741870139293
"376",0.0911133159261582
"377",-0.0447643430320894
"378",0.000732442539367585
"379",-0.0376160269317627
"380",-0.0243564934783636
"381",0.0186860384654136
"382",0.000546968164496388
"383",0.0964035961291661
"384",0.119669893455509
"385",-0.0498037546410687
"386",0.034688903854392
"387",-0.0681173585813988
"388",0.154958781566132
"389",0.0178807118518434
"390",0.043831173113282
"391",-0.0817849809602574
"392",0.0206792719769179
